,nome,nacionalidade,idade,estrela,time,posicao,comportamento,forca
68,Jogador 68,0,19,False,2,3,1,50
69,Jogador 69,3,31,False,2,3,2,44
70,Jogador 70,1,30,False,2,3,0,3
71,Jogador 71,3,24,False,2,3,0,13
72,Jogador 72,2,44,False,3,0,4,22
73,Jogador 73,2,31,False,3,0,1,41
74,Jogador 74,0,34,False,3,0,0,18
75,Jogador 75,3,26,False,3,1,3,6
76,Jogador 76,2,45,False,3,1,4,13
77,Jogador 77,0,18,False,3,1,2,36
78,Jogador 78,0,45,True,3,1,0,24
79,Jogador 79,2,23,False,3,1,1,40
80,Jogador 80,2,27,False,3,1,4,32
81,Jogador 81,2,27,False,3,1,2,48
82,Jogador 82,0,19,True,3,2,4,21
83,Jogador 83,0,45,False,3,2,0,34
84,Jogador 84,3,19,False,3,2,1,33
85,Jogador 85,1,28,False,3,2,4,26
86,Jogador 86,3,30,False,3,2,1,39
87,Jogador 87,1,42,False,3,2,4,8
88,Jogador 88,1,43,False,3,2,4,33
89,Jogador 89,0,40,False,3,3,3,2
90,Jogador 90,3,33,False,3,3,4,13
91,Jogador 91,0,26,False,3,3,4,5
92,Jogador 92,3,26,False,3,3,1,19
93,Jogador 93,0,45,False,3,3,0,31
94,Jogador 94,3,18,False,3,3,3,43
95,Jogador 95,1,31,False,3,3,2,39
96,Jogador 96,3,39,False,4,0,3,9
97,Jogador 97,3,22,False,4,0,1,31
98,Jogador 98,2,42,False,4,0,3,26
99,Jogador 99,3,18,True,4,1,0,33
100,Jogador 100,3,35,False,4,1,2,16
101,Jogador 101,2,22,False,4,1,4,29
102,Jogador 102,1,29,False,4,1,4,39
103,Jogador 103,1,38,False,4,1,4,18
104,Jogador 104,2,20,False,4,1,0,22
105,Jogador 105,3,24,False,4,1,0,32
106,Jogador 106,3,37,False,4,2,4,22
107,Jogador 107,2,45,False,4,2,3,24
108,Jogador 108,1,26,False,4,2,3,23
109,Jogador 109,2,33,False,4,2,1,23
110,Jogador 110,3,36,False,4,2,1,1
111,Jogador 111,2,35,True,4,2,4,37
112,Jogador 112,0,35,False,4,2,0,16
113,Jogador 113,0,35,False,4,3,1,9
114,Jogador 114,2,39,False,4,3,0,19
115,Jogador 115,2,24,False,4,3,0,17
116,Jogador 116,3,27,False,4,3,3,1
117,Jogador 117,2,34,False,4,3,3,41
118,Jogador 118,2,29,False,4,3,3,24
119,Jogador 119,1,24,False,4,3,0,38
120,Jogador 120,3,31,False,5,0,3,50
121,Jogador 121,0,40,False,5,0,2,11
122,Jogador 122,2,31,True,5,0,0,44
123,Jogador 123,1,21,False,5,1,2,23
124,Jogador 124,1,42,False,5,1,3,15
125,Jogador 125,2,43,False,5,1,4,36
126,Jogador 126,3,45,False,5,1,2,9
127,Jogador 127,3,28,False,5,1,0,29
128,Jogador 128,0,32,False,5,1,3,47
129,Jogador 129,2,25,False,5,1,0,21
130,Jogador 130,0,42,False,5,2,2,20
131,Jogador 131,3,21,False,5,2,1,20
132,Jogador 132,2,29,False,5,2,2,22
133,Jogador 133,2,24,False,5,2,1,9
134,Jogador 134,3,43,False,5,2,0,37
135,Jogador 135,1,25,False,5,2,0,11
136,Jogador 136,1,28,False,5,2,0,13
137,Jogador 137,3,29,False,5,3,2,11
138,Jogador 138,3,29,False,5,3,2,38
139,Jogador 139,3,23,False,5,3,4,34
140,Jogador 140,1,29,False,5,3,4,25
141,Jogador 141,2,23,False,5,3,2,17
142,Jogador 142,2,30,False,5,3,3,36
143,Jogador 143,1,38,False,5,3,3,50
144,Jogador 144,3,33,False,6,0,2,35
145,Jogador 145,1,25,False,6,0,0,8
146,Jogador 146,0,38,False,6,0,1,5
147,Jogador 147,3,44,False,6,1,2,8
148,Jogador 148,3,44,False,6,1,2,7
149,Jogador 149,2,41,False,6,1,4,33
150,Jogador 150,3,21,False,6,1,0,40
151,Jogador 151,0,30,False,6,1,2,32
152,Jogador 152,0,39,False,6,1,2,27
153,Jogador 153,0,34,False,6,1,0,38
154,Jogador 154,2,43,False,6,2,3,42
155,Jogador 155,3,42,False,6,2,3,43
156,Jogador 156,0,33,False,6,2,0,40
157,Jogador 157,0,26,False,6,2,2,5
158,Jogador 158,2,21,True,6,2,2,32
159,Jogador 159,3,22,True,6,2,0,28
160,Jogador 160,2,28,False,6,2,0,19
161,Jogador 161,3,34,False,6,3,1,3
162,Jogador 162,3,39,True,6,3,4,28
163,Jogador 163,1,21,True,6,3,3,1
164,Jogador 164,3,45,False,6,3,0,10
165,Jogador 165,1,18,False,6,3,0,44
166,Jogador 166,3,43,False,6,3,1,19
167,Jogador 167,0,32,False,6,3,1,42
168,Jogador 168,1,33,False,7,0,1,45
169,Jogador 169,3,39,False,7,0,2,33
170,Jogador 170,0,19,False,7,0,1,11
171,Jogador 171,3,33,False,7,1,1,22
172,Jogador 172,0,31,False,7,1,1,10
173,Jogador 173,1,43,False,7,1,4,29
174,Jogador 174,3,45,False,7,1,3,43
175,Jogador 175,3,32,False,7,1,4,23
176,Jogador 176,0,23,False,7,1,1,22
177,Jogador 177,0,23,False,7,1,1,25
178,Jogador 178,3,42,False,7,2,1,4
179,Jogador 179,0,39,False,7,2,1,6
180,Jogador 180,0,26,False,7,2,2,38
181,Jogador 181,2,21,False,7,2,2,50
182,Jogador 182,3,23,False,7,2,3,45
183,Jogador 183,0,25,False,7,2,1,2
184,Jogador 184,2,44,False,7,2,1,32
185,Jogador 185,1,26,False,7,3,3,37
186,Jogador 186,0,25,False,7,3,4,11
187,Jogador 187,3,24,False,7,3,2,7
188,Jogador 188,3,40,False,7,3,3,19
189,Jogador 189,3,43,False,7,3,4,39
190,Jogador 190,2,35,False,7,3,0,50
191,Jogador 191,3,25,False,7,3,0,4
192,Jogador 192,2,39,False,8,0,1,49
193,Jogador 193,1,30,False,8,0,0,27
194,Jogador 194,1,45,False,8,0,2,32
195,Jogador 195,3,33,False,8,1,2,42
196,Jogador 196,3,25,False,8,1,2,26
197,Jogador 197,3,28,False,8,1,3,4
198,Jogador 198,2,28,False,8,1,4,21
199,Jogador 199,2,24,False,8,1,3,28
200,Jogador 200,1,40,False,8,1,1,41
201,Jogador 201,1,43,False,8,1,0,24
202,Jogador 202,3,32,False,8,2,1,4
203,Jogador 203,3,28,False,8,2,3,24
204,Jogador 204,0,28,False,8,2,4,17
205,Jogador 205,1,27,False,8,2,3,34
206,Jogador 206,0,37,False,8,2,4,38
207,Jogador 207,1,40,False,8,2,2,38
208,Jogador 208,3,22,False,8,2,4,23
209,Jogador 209,1,24,False,8,3,4,2
210,Jogador 210,0,34,False,8,3,4,25
211,Jogador 211,2,29,False,8,3,3,35
212,Jogador 212,3,23,False,8,3,0,47
213,Jogador 213,1,23,False,8,3,3,40
214,Jogador 214,0,35,False,8,3,0,45
215,Jogador 215,2,41,False,8,3,2,11
216,Jogador 216,2,34,False,9,0,4,4
217,Jogador 217,0,25,False,9,0,1,23
218,Jogador 218,3,37,True,9,0,4,37
219,Jogador 219,1,25,False,9,1,4,25
220,Jogador 220,2,24,False,9,1,4,15
221,Jogador 221,3,18,False,9,1,1,44
222,Jogador 222,2,40,False,9,1,1,32
223,Jogador 223,3,41,False,9,1,3,23
224,Jogador 224,2,29,True,9,1,4,24
225,Jogador 225,2,31,False,9,1,4,14
226,Jogador 226,0,26,False,9,2,0,30
227,Jogador 227,1,41,False,9,2,0,16
228,Jogador 228,1,29,False,9,2,3,32
229,Jogador 229,0,36,False,9,2,4,46
230,Jogador 230,1,21,False,9,2,2,3
231,Jogador 231,2,23,False,9,2,0,16
232,Jogador 232,2,40,False,9,2,0,42
233,Jogador 233,0,21,False,9,3,4,13
234,Jogador 234,2,40,False,9,3,2,3
235,Jogador 235,0,31,False,9,3,1,42
236,Jogador 236,2,44,False,9,3,1,31
237,Jogador 237,1,35,False,9,3,1,3
238,Jogador 238,3,26,False,9,3,1,29
239,Jogador 239,3,38,False,9,3,3,22
240,Jogador 240,1,44,False,10,0,1,22
241,Jogador 241,0,24,False,10,0,1,7
242,Jogador 242,2,35,False,10,0,3,32
243,Jogador 243,3,29,False,10,1,1,16
244,Jogador 244,0,37,False,10,1,1,5
245,Jogador 245,2,35,False,10,1,1,15
246,Jogador 246,0,33,False,10,1,4,46
247,Jogador 247,2,26,False,10,1,4,12
248,Jogador 248,0,26,False,10,1,4,32
249,Jogador 249,2,25,False,10,1,1,19
250,Jogador 250,2,36,False,10,2,3,16
251,Jogador 251,3,28,False,10,2,3,43
252,Jogador 252,3,44,False,10,2,4,9
253,Jogador 253,0,25,False,10,2,4,7
254,Jogador 254,3,42,False,10,2,3,4
255,Jogador 255,0,24,False,10,2,2,10
256,Jogador 256,0,28,False,10,2,0,38
257,Jogador 257,0,32,False,10,3,2,2
258,Jogador 258,0,31,False,10,3,4,22
259,Jogador 259,3,19,False,10,3,3,16
260,Jogador 260,2,39,False,10,3,2,18
261,Jogador 261,1,24,False,10,3,0,25
262,Jogador 262,3,19,False,10,3,4,22
263,Jogador 263,1,39,False,10,3,0,22
264,Jogador 264,0,31,False,11,0,4,33
265,Jogador 265,0,30,False,11,0,1,21
266,Jogador 266,3,45,False,11,0,4,41
267,Jogador 267,3,43,False,11,1,1,25
268,Jogador 268,3,27,True,11,1,4,10
269,Jogador 269,1,42,False,11,1,3,44
270,Jogador 270,0,30,True,11,1,0,15
271,Jogador 271,1,18,False,11,1,1,1
272,Jogador 272,1,34,False,11,1,1,30
273,Jogador 273,3,29,False,11,1,0,6
274,Jogador 274,2,32,False,11,2,3,34
275,Jogador 275,3,41,False,11,2,4,26
276,Jogador 276,1,29,False,11,2,0,18
277,Jogador 277,2,19,False,11,2,0,45
278,Jogador 278,0,41,False,11,2,1,11
279,Jogador 279,0,42,False,11,2,1,17
280,Jogador 280,2,31,False,11,2,1,22
281,Jogador 281,1,27,False,11,3,4,5
282,Jogador 282,2,43,False,11,3,0,32
283,Jogador 283,0,30,False,11,3,2,43
284,Jogador 284,1,22,False,11,3,0,22
285,Jogador 285,0,34,False,11,3,1,32
286,Jogador 286,3,24,False,11,3,4,8
287,Jogador 287,1,34,False,11,3,4,36
288,Jogador 288,3,40,False,12,0,0,46
289,Jogador 289,2,45,False,12,0,0,7
290,Jogador 290,0,27,False,12,0,4,43
291,Jogador 291,3,31,False,12,1,4,50
292,Jogador 292,0,37,False,12,1,3,1
293,Jogador 293,2,44,False,12,1,4,36
294,Jogador 294,3,43,False,12,1,2,14
295,Jogador 295,2,40,False,12,1,2,41
296,Jogador 296,2,36,False,12,1,0,4
297,Jogador 297,2,33,False,12,1,2,3
298,Jogador 298,2,21,False,12,2,4,21
299,Jogador 299,0,25,False,12,2,4,39
300,Jogador 300,1,40,False,12,2,0,47
301,Jogador 301,2,20,False,12,2,1,5
302,Jogador 302,2,21,False,12,2,0,38
303,Jogador 303,3,36,False,12,2,3,9
304,Jogador 304,0,42,False,12,2,4,28
305,Jogador 305,3,20,False,12,3,3,37
306,Jogador 306,1,43,False,12,3,0,30
307,Jogador 307,3,43,False,12,3,3,22
308,Jogador 308,0,45,False,12,3,3,38
309,Jogador 309,1,19,False,12,3,2,31
310,Jogador 310,2,42,False,12,3,4,49
311,Jogador 311,0,24,False,12,3,0,36
312,Jogador 312,3,25,False,13,0,4,27
313,Jogador 313,2,34,False,13,0,4,49
314,Jogador 314,0,42,False,13,0,3,28
315,Jogador 315,1,18,False,13,1,0,43
316,Jogador 316,3,18,False,13,1,4,47
317,Jogador 317,2,40,False,13,1,4,46
318,Jogador 318,3,41,False,13,1,3,40
319,Jogador 319,2,43,False,13,1,4,32
320,Jogador 320,2,41,False,13,1,2,9
321,Jogador 321,0,26,False,13,1,1,30
322,Jogador 322,1,43,False,13,2,3,7
323,Jogador 323,0,30,False,13,2,4,21
324,Jogador 324,3,30,False,13,2,4,38
325,Jogador 325,0,44,True,13,2,4,22
326,Jogador 326,2,37,False,13,2,2,24
327,Jogador 327,2,42,False,13,2,2,10
328,Jogador 328,0,29,True,13,2,0,36
329,Jogador 329,1,24,False,13,3,4,1
330,Jogador 330,2,27,False,13,3,2,39
331,Jogador 331,2,26,False,13,3,1,19
332,Jogador 332,3,27,False,13,3,0,25
333,Jogador 333,2,41,False,13,3,4,19
334,Jogador 334,3,43,False,13,3,4,28
335,Jogador 335,1,30,False,13,3,3,31
336,Jogador 336,1,41,False,14,0,1,10
337,Jogador 337,2,25,False,14,0,2,31
338,Jogador 338,1,24,False,14,0,1,37
339,Jogador 339,2,21,False,14,1,4,17
340,Jogador 340,0,36,False,14,1,4,45
341,Jogador 341,1,23,True,14,1,3,15
342,Jogador 342,0,26,False,14,1,3,6
343,Jogador 343,1,33,False,14,1,3,9
344,Jogador 344,0,36,False,14,1,3,19
345,Jogador 345,3,45,False,14,1,1,20
346,Jogador 346,0,18,False,14,2,0,25
347,Jogador 347,2,24,False,14,2,0,38
348,Jogador 348,2,18,False,14,2,0,26
349,Jogador 349,1,44,False,14,2,0,39
350,Jogador 350,1,22,False,14,2,2,27
351,Jogador 351,0,28,True,14,2,1,38
352,Jogador 352,2,43,False,14,2,3,49
353,Jogador 353,3,31,False,14,3,3,44
354,Jogador 354,1,29,True,14,3,1,32
355,Jogador 355,2,45,False,14,3,3,38
356,Jogador 356,0,22,False,14,3,2,43
357,Jogador 357,1,30,False,14,3,3,7
358,Jogador 358,3,34,False,14,3,2,46
359,Jogador 359,3,43,False,14,3,1,38
360,Jogador 360,3,40,False,15,0,4,43
361,Jogador 361,2,18,False,15,0,3,32
362,Jogador 362,3,36,False,15,0,4,15
363,Jogador 363,0,30,False,15,1,0,32
364,Jogador 364,2,43,False,15,1,4,20
365,Jogador 365,1,43,False,15,1,3,42
366,Jogador 366,2,38,False,15,1,0,13
367,Jogador 367,1,21,False,15,1,0,44
368,Jogador 368,0,42,False,15,1,4,16
369,Jogador 369,3,29,False,15,1,4,8
370,Jogador 370,3,34,False,15,2,4,9
371,Jogador 371,0,43,False,15,2,0,13
372,Jogador 372,3,22,True,15,2,1,3
373,Jogador 373,2,25,False,15,2,0,29
374,Jogador 374,0,31,False,15,2,1,15
375,Jogador 375,0,40,False,15,2,1,49
376,Jogador 376,1,44,False,15,2,0,34
377,Jogador 377,2,38,False,15,3,4,13
378,Jogador 378,0,18,False,15,3,0,3
379,Jogador 379,3,28,False,15,3,1,38
380,Jogador 380,3,45,False,15,3,4,9
381,Jogador 381,2,25,False,15,3,0,1
382,Jogador 382,3,31,False,15,3,1,10
383,Jogador 383,0,26,False,15,3,3,38
384,Jogador 384,2,25,False,16,0,3,11
385,Jogador 385,2,29,False,16,0,1,10
386,Jogador 386,3,36,False,16,0,0,49
387,Jogador 387,1,43,False,16,1,0,12
388,Jogador 388,0,24,False,16,1,4,25
389,Jogador 389,3,28,False,16,1,1,30
390,Jogador 390,2,29,False,16,1,2,40
391,Jogador 391,2,40,False,16,1,4,15
392,Jogador 392,0,45,False,16,1,2,15
393,Jogador 393,0,18,False,16,1,0,12
394,Jogador 394,2,18,False,16,2,1,37
395,Jogador 395,2,19,False,16,2,0,33
396,Jogador 396,1,24,False,16,2,2,32
397,Jogador 397,0,42,False,16,2,3,19
398,Jogador 398,0,37,False,16,2,1,45
399,Jogador 399,2,23,False,16,2,3,20
400,Jogador 400,3,21,False,16,2,4,46
401,Jogador 401,0,44,False,16,3,3,20
402,Jogador 402,2,31,False,16,3,1,21
403,Jogador 403,1,40,False,16,3,4,33
404,Jogador 404,0,29,False,16,3,3,36
405,Jogador 405,3,37,True,16,3,3,8
406,Jogador 406,3,42,False,16,3,3,17
407,Jogador 407,2,26,False,16,3,1,43
408,Jogador 408,2,43,False,17,0,2,25
409,Jogador 409,0,37,False,17,0,1,50
410,Jogador 410,2,34,False,17,0,3,23
411,Jogador 411,0,36,False,17,1,4,14
412,Jogador 412,3,26,False,17,1,2,21
413,Jogador 413,0,40,False,17,1,4,37
414,Jogador 414,2,32,False,17,1,3,15
415,Jogador 415,1,19,True,17,1,4,42
416,Jogador 416,0,28,True,17,1,0,10
417,Jogador 417,0,34,False,17,1,3,30
418,Jogador 418,0,44,False,17,2,1,32
419,Jogador 419,1,23,False,17,2,1,44
420,Jogador 420,1,27,False,17,2,1,6
421,Jogador 421,2,45,False,17,2,0,11
422,Jogador 422,0,29,False,17,2,1,8
423,Jogador 423,3,44,False,17,2,4,10
424,Jogador 424,1,31,False,17,2,1,48
425,Jogador 425,3,31,False,17,3,4,25
426,Jogador 426,2,24,False,17,3,3,17
427,Jogador 427,3,19,False,17,3,0,23
428,Jogador 428,0,42,False,17,3,3,12
429,Jogador 429,2,30,False,17,3,0,34
430,Jogador 430,1,22,False,17,3,0,16
431,Jogador 431,1,23,False,17,3,3,2
432,Jogador 432,0,44,False,18,0,1,42
433,Jogador 433,0,22,False,18,0,1,41
434,Jogador 434,0,25,False,18,0,3,29
435,Jogador 435,3,24,False,18,1,1,50
436,Jogador 436,1,19,False,18,1,0,8
437,Jogador 437,2,19,False,18,1,4,4
438,Jogador 438,1,28,False,18,1,2,33
439,Jogador 439,0,45,False,18,1,3,46
440,Jogador 440,0,25,False,18,1,1,35
441,Jogador 441,0,20,False,18,1,0,8
442,Jogador 442,1,25,False,18,2,1,35
443,Jogador 443,1,30,False,18,2,1,28
444,Jogador 444,0,43,False,18,2,3,5
445,Jogador 445,0,26,False,18,2,0,37
446,Jogador 446,0,41,False,18,2,1,19
447,Jogador 447,1,20,False,18,2,2,3
448,Jogador 448,0,23,False,18,2,2,26
449,Jogador 449,2,42,False,18,3,2,44
450,Jogador 450,2,45,False,18,3,4,8
451,Jogador 451,2,42,False,18,3,0,22
452,Jogador 452,1,37,False,18,3,1,5
453,Jogador 453,1,44,False,18,3,3,45
454,Jogador 454,1,27,False,18,3,1,34
455,Jogador 455,2,39,False,18,3,0,1
456,Jogador 456,0,37,False,19,0,3,15
457,Jogador 457,1,30,False,19,0,3,18
458,Jogador 458,0,31,False,19,0,4,28
459,Jogador 459,1,26,False,19,1,3,32
460,Jogador 460,2,26,False,19,1,1,40
461,Jogador 461,1,44,False,19,1,3,15
462,Jogador 462,1,37,False,19,1,2,48
463,Jogador 463,0,30,False,19,1,3,24
464,Jogador 464,1,30,False,19,1,4,10
465,Jogador 465,2,36,False,19,1,4,11
466,Jogador 466,1,33,False,19,2,0,24
467,Jogador 467,3,41,False,19,2,1,30
468,Jogador 468,3,34,False,19,2,1,31
469,Jogador 469,0,43,False,19,2,1,1
470,Jogador 470,3,24,False,19,2,4,32
471,Jogador 471,3,38,False,19,2,2,43
472,Jogador 472,3,23,False,19,2,3,12
473,Jogador 473,1,24,False,19,3,1,16
474,Jogador 474,3,32,False,19,3,0,33
475,Jogador 475,2,25,False,19,3,3,19
476,Jogador 476,2,45,False,19,3,0,10
477,Jogador 477,3,32,False,19,3,2,45
478,Jogador 478,1,32,False,19,3,3,1
479,Jogador 479,3,44,False,19,3,4,5
480,Jogador 480,0,43,False,20,0,1,31
481,Jogador 481,2,35,False,20,0,1,13
482,Jogador 482,0,34,False,20,0,0,44
483,Jogador 483,1,41,False,20,1,1,12
484,Jogador 484,3,22,False,20,1,2,20
485,Jogador 485,0,33,False,20,1,4,32
486,Jogador 486,1,20,False,20,1,3,13
487,Jogador 487,2,23,False,20,1,1,16
488,Jogador 488,0,40,False,20,1,0,10
489,Jogador 489,3,33,False,20,1,0,16
490,Jogador 490,3,27,False,20,2,2,40
491,Jogador 491,0,32,False,20,2,4,38
492,Jogador 492,0,30,False,20,2,3,25
493,Jogador 493,2,30,False,20,2,0,33
494,Jogador 494,1,25,False,20,2,0,50
495,Jogador 495,0,42,False,20,2,3,32
496,Jogador 496,0,44,True,20,2,3,38
497,Jogador 497,2,44,False,20,3,1,44
498,Jogador 498,0,35,False,20,3,4,18
499,Jogador 499,3,30,False,20,3,0,6
500,Jogador 500,0,42,False,20,3,3,16
501,Jogador 501,0,29,False,20,3,1,39
502,Jogador 502,1,40,False,20,3,3,15
503,Jogador 503,1,42,False,20,3,1,11
504,Jogador 504,0,35,False,21,0,3,22
505,Jogador 505,3,21,False,21,0,0,45
506,Jogador 506,1,39,False,21,0,3,28
507,Jogador 507,3,38,False,21,1,2,11
508,Jogador 508,0,30,False,21,1,3,48
509,Jogador 509,1,42,False,21,1,3,35
510,Jogador 510,1,18,False,21,1,1,8
511,Jogador 511,2,23,False,21,1,2,31
512,Jogador 512,1,24,False,21,1,2,23
513,Jogador 513,0,26,False,21,1,2,1
514,Jogador 514,0,34,False,21,2,3,44
515,Jogador 515,1,26,False,21,2,4,13
516,Jogador 516,2,41,False,21,2,3,7
517,Jogador 517,3,32,False,21,2,1,2
518,Jogador 518,2,30,False,21,2,1,45
519,Jogador 519,0,45,False,21,2,1,14
520,Jogador 520,2,40,False,21,2,4,27
521,Jogador 521,0,22,False,21,3,1,10
522,Jogador 522,1,32,False,21,3,1,29
523,Jogador 523,2,32,False,21,3,2,34
524,Jogador 524,2,37,False,21,3,4,49
525,Jogador 525,0,42,False,21,3,1,41
526,Jogador 526,1,19,False,21,3,2,1
527,Jogador 527,3,30,False,21,3,3,6
528,Jogador 528,2,27,False,22,0,2,6
529,Jogador 529,0,29,False,22,0,4,17
530,Jogador 530,2,20,True,22,0,1,30
531,Jogador 531,1,28,False,22,1,4,41
532,Jogador 532,2,43,False,22,1,3,24
533,Jogador 533,3,22,False,22,1,0,10
534,Jogador 534,1,33,True,22,1,1,27
535,Jogador 535,3,18,False,22,1,1,16
536,Jogador 536,2,28,False,22,1,4,41
537,Jogador 537,0,38,False,22,1,3,6
538,Jogador 538,2,39,False,22,2,4,3
539,Jogador 539,2,34,False,22,2,3,24
540,Jogador 540,2,28,False,22,2,3,11
541,Jogador 541,2,45,False,22,2,1,43
542,Jogador 542,0,27,False,22,2,1,44
543,Jogador 543,2,35,False,22,2,4,28
544,Jogador 544,0,24,False,22,2,4,44
545,Jogador 545,0,23,False,22,3,4,9
546,Jogador 546,0,44,False,22,3,0,16
547,Jogador 547,3,27,False,22,3,2,12
548,Jogador 548,1,29,False,22,3,4,20
549,Jogador 549,0,41,False,22,3,4,16
550,Jogador 550,2,27,False,22,3,2,5
551,Jogador 551,1,21,False,22,3,1,38
552,Jogador 552,0,41,True,23,0,4,14
553,Jogador 553,3,22,False,23,0,0,48
554,Jogador 554,1,38,False,23,0,2,25
555,Jogador 555,2,33,False,23,1,0,19
556,Jogador 556,2,25,False,23,1,2,21
557,Jogador 557,2,32,False,23,1,1,20
558,Jogador 558,2,18,False,23,1,0,23
559,Jogador 559,0,19,False,23,1,1,42
560,Jogador 560,0,30,False,23,1,4,16
561,Jogador 561,0,34,False,23,1,4,46
562,Jogador 562,0,27,False,23,2,3,42
563,Jogador 563,3,37,False,23,2,4,8
564,Jogador 564,0,33,False,23,2,0,25
565,Jogador 565,2,22,False,23,2,1,33
566,Jogador 566,2,22,False,23,2,4,42
567,Jogador 567,1,24,True,23,2,2,31
568,Jogador 568,2,32,False,23,2,0,19
569,Jogador 569,1,24,False,23,3,0,27
570,Jogador 570,0,38,False,23,3,2,34
571,Jogador 571,1,39,False,23,3,0,30
572,Jogador 572,3,31,False,23,3,0,31
573,Jogador 573,3,39,False,23,3,1,4
574,Jogador 574,2,40,False,23,3,0,30
575,Jogador 575,2,21,False,23,3,2,6
576,Jogador 576,0,42,False,24,0,4,35
577,Jogador 577,3,41,False,24,0,0,46
578,Jogador 578,0,34,False,24,0,1,27
579,Jogador 579,0,30,False,24,1,3,24
580,Jogador 580,0,30,False,24,1,2,35
581,Jogador 581,1,21,False,24,1,3,6
582,Jogador 582,3,43,False,24,1,1,42
583,Jogador 583,3,40,False,24,1,1,11
584,Jogador 584,3,31,False,24,1,0,32
585,Jogador 585,3,18,False,24,1,2,9
586,Jogador 586,2,39,False,24,2,2,32
587,Jogador 587,3,31,False,24,2,2,34
588,Jogador 588,2,42,False,24,2,1,11
589,Jogador 589,1,20,False,24,2,4,31
590,Jogador 590,2,43,False,24,2,0,28
591,Jogador 591,0,32,False,24,2,1,33
592,Jogador 592,3,34,False,24,2,4,16
593,Jogador 593,3,43,False,24,3,3,46
594,Jogador 594,2,39,False,24,3,1,20
595,Jogador 595,2,45,False,24,3,2,11
596,Jogador 596,2,38,False,24,3,4,10
597,Jogador 597,1,19,False,24,3,3,11
598,Jogador 598,3,45,False,24,3,4,10
599,Jogador 599,3,42,False,24,3,3,39
600,Jogador 600,3,29,False,25,0,4,12
601,Jogador 601,0,21,False,25,0,0,47
602,Jogador 602,1,44,False,25,0,2,14
603,Jogador 603,1,33,False,25,1,2,40
604,Jogador 604,3,27,False,25,1,0,23
